Race/ethnicity,Sex,Year,Warnings,Citations
White,M,2017,4565,369
Black,M,2017,353,32
Hispanic,M,2017,59,23
unknown,M,2017,909,48
White,F,2017,4550,213
Black,F,2017,235,17
Hispanic,F,2017,38,7
unknown,F,2017,1001,86
White,M,2018,3871,115
Black,M,2018,315,12
Hispanic,M,2018,137,21
unknown,M,2018,431,8
White,F,2018,3971,59
Black,F,2018,215,5
Hispanic,F,2018,109,5
unknown,F,2018,975,36
White,M,2019,4729,102
Black,M,2019,430,9
Hispanic,M,2019,300,4
unknown,M,2019,988,29
White,F,2019,4695,83
Black,F,2019,293,5
Hispanic,F,2019,174,1
unknown,F,2019,762,21